CASE_ID,UNIQUE_CORRELATION_ID,CHARGE_ID,CASE_CREATED_DATE,CHARGE_DEGREE,CHARGE_LEVEL,CORRELATION_ID,DEF_PROSEC_PRETRIAL_DIVER_AGREE_DATE,DEF_STATUTE_CHAPTER_CODE,DEF_STATUTE_CHAPTER_GROUPING,DEF_STATUTE_SECTION,DEF_STATUTE_SUBSECTION,DEFENDANT_AGE,DEFENDANT_RACE_TYPE_DESC,DEFENDANT_SEX_TYPE_DESC,DEFENDANT_ETHNICITY_TYPE_DESC,DEFENDANT_ID,DRUG_TYPE_DESC,FINAL_ACTION_PROSECUTOR,FINAL_ACTION_DESC,FINAL_DECISION,OFFENSE_CODE,OFFENSE_FCIC_TYPE_DESC,OWNER_ORI,STATUTE,VICTIM_AGE,VICTIM_RACE_TYPE_DESC,VICTIM_SEX_TYPE_DESC,VICTIM_ETHNICITY_TYPE_DESC,VICTIM_ID,VICTIM_RELATIONSHIP_TO_OFFENDER_CODE,UCN_COUNTY_CODE,AGENCY_NAME,COUNTY_DESCRIPTION,STATE
2114229,e4a9fde6-c0d9-4b35-bae0-fa3b1ce0178b,7281286,39:49.0,Not Applicable,Misdemeanor,e4a9fde6-c0d9-4b35-bae0-fa3b1ce0178b,,316,State Uniform Traffic Control,193,1,,White,Male,Unknown,7570590,,N,Filed Pending Court,00:00.0,,State Uniform Traffic Control,FL064015A,316.193.1,,Unknown,Unknown,Unknown,,,55,St. Johns County State Attorney's Office,St. Johns,Florida
2114232,92352148-cc87-4b34-ae34-a57291b7dfe5,7281293,39:50.2,First Degree,Misdemeanor,92352148-cc87-4b34-ae34-a57291b7dfe5,,741,Marriage; Domestic Violence,31,4a,,White,Male,Unknown,7570600,,N,Filed Pending Court,00:00.0,,Marriage; Domestic Violence,FL064015A,741.31.4a,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2145794,daf69468-9baf-4424-be03-d3b58f9f3418,7380733,39:30.1,First Degree,Misdemeanor,daf69468-9baf-4424-be03-d3b58f9f3418,,893,Drug Abuse Prevention and Control,147,1,,White,Female,Unknown,7676188,,N,Filed Pending Court,00:00.0,,Drug Abuse Prevention and Control,FL064015A,893.147.1,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2145812,197d802b-e273-49fe-9c54-9c993456268d,7380757,39:32.6,Not Applicable,Misdemeanor,197d802b-e273-49fe-9c54-9c993456268d,,893,Drug Abuse Prevention and Control,147,1,,White,Male,Unknown,7676240,,N,Filed Pending Court,00:00.0,,Drug Abuse Prevention and Control,FL064015A,893.147.1,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2145839,d5060dd5-9421-42ec-bbf4-7dc130da6139,7380793,39:36.1,Not Applicable,Misdemeanor,d5060dd5-9421-42ec-bbf4-7dc130da6139,,812,"Theft, Robbery, and Related Crimes",15,1d,,White,Female,Unknown,7676296,,N,Filed Pending Court,00:00.0,,"Theft, Robbery, and Related Crimes",FL064015A,812.015.1d,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2145865,f005cc2c-f27a-4838-b055-45248c1aa01d,7380838,39:39.8,Second Degree,Misdemeanor,f005cc2c-f27a-4838-b055-45248c1aa01d,,322,Driver Licenses,3,1,,White,Male,Unknown,7676356,,N,Filed Pending Court,00:00.0,,Driver Licenses,FL064015A,322.03.1,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2145892,2f90afa2-a9f6-4e3f-9d4d-f7715f18e0be,7380887,39:43.5,Second Degree,Misdemeanor,2f90afa2-a9f6-4e3f-9d4d-f7715f18e0be,,322,Driver Licenses,3,1,,White,Female,Unknown,7676420,,N,Filed Pending Court,00:00.0,,Driver Licenses,FL064015A,322.03.1,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2145911,af2710d0-239b-4e9f-8382-f6ec47825e8a,7380907,39:46.7,Second Degree,Misdemeanor,af2710d0-239b-4e9f-8382-f6ec47825e8a,,812,"Theft, Robbery, and Related Crimes",14,3a,,White,Female,Unknown,7676456,,N,Filed Pending Court,00:00.0,,"Theft, Robbery, and Related Crimes",FL064015A,812.014.3a,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2112204,63225b6b-d112-47d1-a9a4-a6c23dfc42de,7272034,13:05.3,Second Degree,Misdemeanor,63225b6b-d112-47d1-a9a4-a6c23dfc42de,,322,Driver Licenses,34,2a,,Black,Male,Unknown,7559436,,N,Filed Pending Court,00:00.0,,Driver Licenses,FL064015A,322.34.2a,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
2112203,ed5fd861-8d1a-4aa6-9e18-fe545311a426,7272084,13:04.3,Not Applicable,Misdemeanor,ed5fd861-8d1a-4aa6-9e18-fe545311a426,,316,State Uniform Traffic Control,193,1,,White,Male,Unknown,7559479,,N,Filed Pending Court,00:00.0,,State Uniform Traffic Control,FL064015A,316.193.1,,Unknown,Unknown,Unknown,,,55,St. Johns County State Attorney's Office,St. Johns,Florida
2112215,b6c92991-30fd-483b-9419-81de00b47c0a,7272089,13:05.9,Second Degree,Misdemeanor,b6c92991-30fd-483b-9419-81de00b47c0a,,320,Motor Vehicle Licenses,2,1,,White,Male,Unknown,7559496,,N,Filed Pending Court,00:00.0,,Motor Vehicle Licenses,FL064015A,320.02.1,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
1818493,2b50dfa4-9591-4a8f-96c1-a5424082bed7,6156688,41:11.1,Third Degree,Felony,2b50dfa4-9591-4a8f-96c1-a5424082bed7,,787,Kidnapping; Custody Offenses; Human Trafficking; and Related Offenses,2,2,,White,Male,Unknown,6204554,,N,Filed Pending Court,00:00.0,,Kidnapping; Custody Offenses; Human Trafficking; and Related Offenses,FL064015A,787.02.2,,Unknown,Unknown,Unknown,,,55,St. Johns County State Attorney's Office,St. Johns,Florida
1818929,9de8a23f-b569-4138-9f91-d41183fbb6af,6158661,30:04.7,First Degree,Misdemeanor,9de8a23f-b569-4138-9f91-d41183fbb6af,,901,Arrests,36,1,,White,Male,Unknown,6206670,,N,Filed Pending Court,00:00.0,,Arrests,FL064015A,901.36.1,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
1818492,fd62cf80-374c-47dd-825f-30d015cb6fe0,6156686,25:47.9,Not Applicable,Misdemeanor,fd62cf80-374c-47dd-825f-30d015cb6fe0,,322,Driver Licenses,3,1,,Black,Male,Unknown,6204553,,N,Filed Pending Court,00:00.0,,Driver Licenses,FL064015A,322.03.1,,Unknown,Unknown,Unknown,,,55,St. Johns County State Attorney's Office,St. Johns,Florida
6570067,47255963-1637-4883-8496-9fadf941df9b,29428824,21:41.9,Second Degree,Felony,47255963-1637-4883-8496-9fadf941df9b,,316,State Uniform Traffic Control,1935,,22,Black,Male,Unknown,27858244,,N,Filed Pending Court,00:00.0,4814,Flee/Elude Police,FL052015A,316.1935,,Unknown,Unknown,Unknown,,,52,Pinellas County State Attorney's Office,Pinellas,Florida
1818469,96026c6c-1fe2-4bbc-82d2-e7f7c257f26c,6156653,16:08.2,Second Degree,Misdemeanor,96026c6c-1fe2-4bbc-82d2-e7f7c257f26c,,322,Driver Licenses,3,1,,White,Female,Unknown,6204526,,L,Dropped or Abandoned,00:00.0,,Driver Licenses,FL064015A,322.03.1,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
1818460,9e9117d1-980e-4a63-9cd7-c39864693227,6156636,47:41.8,Third Degree,Felony,9e9117d1-980e-4a63-9cd7-c39864693227,,322,Driver Licenses,212,1a,,Black,Male,Unknown,6204515,,N,Filed Pending Court,00:00.0,,Driver Licenses,FL064015A,322.212.1a,,Unknown,Unknown,Unknown,,,55,St. Johns County State Attorney's Office,St. Johns,Florida
1818480,3b543c63-83a9-4339-a40e-a76a6d73eb6c,6156670,58:00.3,First Degree,Misdemeanor,3b543c63-83a9-4339-a40e-a76a6d73eb6c,,893,Drug Abuse Prevention and Control,147,1,,White,Male,Unknown,6204540,,N,Filed Pending Court,00:00.0,,Drug Abuse Prevention and Control,FL064015A,893.147.1,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
1818443,90fa0181-5c0c-4618-9480-9cf45adf59d6,6156301,08:25.2,Not Applicable,Misdemeanor,90fa0181-5c0c-4618-9480-9cf45adf59d6,,322,Driver Licenses,34,2a,,White,Female,Unknown,6204334,,N,Filed Pending Court,00:00.0,,Driver Licenses,FL064015A,322.34.2a,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
1818468,62dfbee5-e046-4c09-b175-50ea964e089e,6156652,16:07.0,Third Degree,Felony,62dfbee5-e046-4c09-b175-50ea964e089e,,893,Drug Abuse Prevention and Control,13,6a,,White,Male,Unknown,6204525,,N,Filed Pending Court,00:00.0,,Drug Abuse Prevention and Control,FL064015A,893.13.6a,,Unknown,Unknown,Unknown,,,55,St. Johns County State Attorney's Office,St. Johns,Florida
1818493,2b50dfa4-9591-4a8f-96c1-a5424082bed7,6156687,41:11.1,Not Applicable,Misdemeanor,2b50dfa4-9591-4a8f-96c1-a5424082bed7,,806,Arson and Criminal Mischief,13,1b2,,White,Male,Unknown,6204554,,N,Filed Pending Court,00:00.0,,Arson and Criminal Mischief,FL064015A,806.13.1b2,,Unknown,Unknown,Unknown,,,55,St. Johns County State Attorney's Office,St. Johns,Florida
1818518,73f71f5c-de78-4058-852a-f4cc991343b6,6156855,59:38.9,Third Degree,Felony,73f71f5c-de78-4058-852a-f4cc991343b6,,790,Weapons and Firearms,1,2,,Black,Male,Unknown,6204621,,N,Filed Pending Court,00:00.0,,Weapons and Firearms,FL064015A,790.01.2,,Unknown,Unknown,Unknown,,,54,Putnam County State Attorney's Office,Putnam,Florida
6569847,d998cfcf-e108-4bbf-8aa7-4a5320fc2b05,29428433,21:16.6,First Degree,Misdemeanor,d998cfcf-e108-4bbf-8aa7-4a5320fc2b05,,843,Obstructing Justice,2,,36,Black,Male,Unknown,27857791,,N,Filed Pending Court,00:00.0,4801,Resist Officer,FL052015A,843.02,,Unknown,Unknown,Unknown,,,52,Pinellas County State Attorney's Office,Pinellas,Florida
1818460,9e9117d1-980e-4a63-9cd7-c39864693227,6156635,47:41.8,Not Applicable,Misdemeanor,9e9117d1-980e-4a63-9cd7-c39864693227,,316,State Uniform Traffic Control,193,1,,Black,Male,Unknown,6204515,,N,Filed Pending Court,00:00.0,,State Uniform Traffic Control,FL064015A,316.193.1,,Unknown,Unknown,Unknown,,,55,St. Johns County State Attorney's Office,St. Johns,Florida
1818491,35e843b9-0c1a-4293-a160-97f7b20d1439,6156685,25:47.3,First Degree,Misdemeanor,35e843b9-0c1a-4293-a160-97f7b20d1439,,741,Marriage; Domestic Violence,29,6,,White,Male,Unknown,6204552,,N,Filed Pending Court,00:00.0,,Marriage; Domestic Violence,FL064015A,741.29.6,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
1818505,1d129278-8451-4266-8a5a-4ea4f0413d50,6156837,04:55.9,Not Applicable,Misdemeanor,1d129278-8451-4266-8a5a-4ea4f0413d50,,322,Driver Licenses,3,1,,White,Male,Unknown,6204604,,N,Filed Pending Court,00:00.0,,Driver Licenses,FL064015A,322.03.1,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
1818447,74a802b3-7bfd-4ead-a963-9dc794e0b08a,6156622,54:53.7,Third Degree,Felony,74a802b3-7bfd-4ead-a963-9dc794e0b08a,,810,Burglary and Trespass,2,4a,,White,Female,Unknown,6204502,,N,Filed Pending Court,00:00.0,,Burglary and Trespass,FL064015A,810.02.4a,,Unknown,Unknown,Unknown,,,64,Volusia County State Attorney's Office,Volusia,Florida
1818454,5e960a4a-1b42-4318-8e6d-aec88fe47986,6156629,35:14.4,First Degree,Misdemeanor,5e960a4a-1b42-4318-8e6d-aec88fe47986,,365,Use of Telephones and Facsimile Machines,172,13,,Black,Male,Unknown,6204509,,N,Filed Pending Court,00:00.0,,Use of Telephones and Facsimile Machines,FL064015A,365.172.13,,Unknown,Unknown,Unknown,,,54,Putnam County State Attorney's Office,Putnam,Florida
1818521,23d1a14e-0f46-4038-8709-b25c963b8652,6156861,28:40.4,Not Applicable,Misdemeanor,23d1a14e-0f46-4038-8709-b25c963b8652,,322,Driver Licenses,34,2a,,White,Male,Unknown,6204627,,L,Dropped or Abandoned,00:00.0,,Driver Licenses,FL064015A,322.34.2a,,Unknown,Unknown,Unknown,,,55,St. Johns County State Attorney's Office,St. Johns,Florida
1818482,3b73a6b7-72e1-4f09-95fe-041df4479b52,6156674,58:01.6,First Degree,Misdemeanor,3b73a6b7-72e1-4f09-95fe-041df4479b52,,316,State Uniform Traffic Control,193,1,,White,Male,Unknown,6204542,,N,Filed Pending Court,00:00.0,,State Uniform Traffic Control,FL064015A,316.193.1,,Unknown,Unknown,Unknown,,,55,St. Johns County State Attorney's Office,St. Johns,Florida
1818520,74bb705b-7f3d-4e0e-891c-d8c2d3a280ff,6156860,28:39.7,Second Degree,Misdemeanor,74bb705b-7f3d-4e0e-891c-d8c2d3a280ff,,322,Driver Licenses,3,1,,White,Male,Unknown,6204626,,N,Filed Pending Court,00:00.0,,Driver Licenses,FL064015A,322.03.1,,Unknown,Unknown,Unknown,,,55,St. Johns County State Attorney's Office,St. Johns,Florida
1818493,2b50dfa4-9591-4a8f-96c1-a5424082bed7,6156690,41:11.1,First Degree,Felony,2b50dfa4-9591-4a8f-96c1-a5424082bed7,,914,Witnesses; Criminal Proceedings,22,2c,,White,Male,Unknown,6204554,,N,Filed Pending Court,00:00.0,,Witnesses; Criminal Proceedings,FL064015A,914.22.2c,,Unknown,Unknown,Unknown,,,55,St. Johns County State Attorney's Office,St. Johns,Florida
1854659,9487a804-d32c-4459-964e-d87244769ef0,6284492,53:54.1,Second Degree,Felony,9487a804-d32c-4459-964e-d87244769ef0,,,,,,,Unknown,Unknown,Unknown,6346086,,C,Consolidated,00:00.0,2806,Stolen Property-Deal In,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1854970,25a2c12c-19f8-4e12-9d9c-9e11df187e64,6284960,11:59.1,Second Degree,Felony,25a2c12c-19f8-4e12-9d9c-9e11df187e64,,,,,,,Unknown,Unknown,Unknown,6346709,,N,Filed Pending Court,00:00.0,2806,Stolen Property-Deal In,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1853829,3ca90cbd-ed32-4c4f-90c9-3f1ca6aba560,6283036,05:45.1,Second Degree,Felony,3ca90cbd-ed32-4c4f-90c9-3f1ca6aba560,,,,,,,Unknown,Unknown,Unknown,6344428,,N,Filed Pending Court,00:00.0,2806,Stolen Property-Deal In,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1853710,b0e89ac8-7977-4eee-aa35-58a25c4f1d77,6282854,58:47.9,Second Degree,Felony,b0e89ac8-7977-4eee-aa35-58a25c4f1d77,,,,,,,Unknown,Unknown,Unknown,6344190,,N,Filed Pending Court,00:00.0,2806,Stolen Property-Deal In,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1854181,0d5de43f-d2b8-4209-8262-6647a265ce49,6283563,26:04.1,Second Degree,Felony,0d5de43f-d2b8-4209-8262-6647a265ce49,,,,,,,Unknown,Unknown,Unknown,6345131,,N,Filed Pending Court,00:00.0,2806,Stolen Property-Deal In,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1854664,208f32ba-ea71-4879-a7b0-7e1b297c321c,6284499,54:11.8,Second Degree,Felony,208f32ba-ea71-4879-a7b0-7e1b297c321c,,,,,,,Unknown,Unknown,Unknown,6346096,,N,Filed Pending Court,00:00.0,2806,Stolen Property-Deal In,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1852523,64d1b63a-fc7f-49aa-9dca-33caa6724421,6280907,49:38.7,First Degree,Felony,64d1b63a-fc7f-49aa-9dca-33caa6724421,,,,,,,Unknown,Unknown,Unknown,6341779,,N,Filed Pending Court,00:00.0,3555,Drugs-Traffic,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1854824,f80d6e02-2764-4c37-a97b-bf8c710f465f,6284742,03:36.2,Third Degree,Felony,f80d6e02-2764-4c37-a97b-bf8c710f465f,,,,,,,Unknown,Unknown,Unknown,6346416,,Z,No Action,00:00.0,3555,Drugs-Traffic,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1853705,524999a4-00d8-4b1e-b4d3-0de9531f42a9,6282845,58:30.5,First Degree,Felony,524999a4-00d8-4b1e-b4d3-0de9531f42a9,,,,,,,Unknown,Unknown,Unknown,6344180,,N,Filed Pending Court,00:00.0,3555,Drugs-Traffic,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1854549,0dadc45a-c7d7-47a9-be8f-f3d4e66116bc,6284233,47:38.8,Second Degree,Felony,0dadc45a-c7d7-47a9-be8f-f3d4e66116bc,,,,,,,Unknown,Unknown,Unknown,6345868,,N,Filed Pending Court,00:00.0,3555,Drugs-Traffic,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1853672,2343b7ed-8504-47a2-afb7-c28518b7a0dc,6282802,56:35.1,Second Degree,Felony,2343b7ed-8504-47a2-afb7-c28518b7a0dc,,,,,,,Unknown,Unknown,Unknown,6344114,,N,Filed Pending Court,00:00.0,3806,Neglect Child,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1854526,ec08b33a-239b-44f9-ac6f-401af998d0ab,6284191,46:17.9,Second Degree,Misdemeanor,ec08b33a-239b-44f9-ac6f-401af998d0ab,,,,,,,Unknown,Unknown,Unknown,6345822,,N,Filed Pending Court,00:00.0,5405,Moving Traffic Violation,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1854233,d6968071-7ce5-4511-adcb-2e03784dcd95,6283637,29:07.3,First Degree,Misdemeanor,d6968071-7ce5-4511-adcb-2e03784dcd95,,,,,,,Unknown,Unknown,Unknown,6345235,,N,Filed Pending Court,00:00.0,5405,Moving Traffic Violation,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1854235,ea0cfd80-2a07-4fbb-9402-ad31d84c1c45,6283639,29:17.4,Second Degree,Misdemeanor,ea0cfd80-2a07-4fbb-9402-ad31d84c1c45,,,,,,,Unknown,Unknown,Unknown,6345239,,N,Filed Pending Court,00:00.0,5405,Moving Traffic Violation,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1854360,d0a1d20b-0704-4273-9150-7be927201ec8,6283930,36:36.2,Second Degree,Misdemeanor,d0a1d20b-0704-4273-9150-7be927201ec8,,,,,,,Unknown,Unknown,Unknown,6345489,,N,Filed Pending Court,00:00.0,5405,Moving Traffic Violation,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1854158,21a274d5-4614-498c-9de2-07e66bd59bb2,6283521,24:46.2,Second Degree,Misdemeanor,21a274d5-4614-498c-9de2-07e66bd59bb2,,,,,,,Unknown,Unknown,Unknown,6345086,,N,Filed Pending Court,00:00.0,5405,Moving Traffic Violation,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1854710,0f197e69-4a0a-43e3-8680-1dac190cd769,6284568,56:53.9,Second Degree,Misdemeanor,0f197e69-4a0a-43e3-8680-1dac190cd769,,,,,,,Unknown,Unknown,Unknown,6346188,,N,Filed Pending Court,00:00.0,5405,Moving Traffic Violation,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1853236,b39dc385-e85e-4f1e-8b5f-a306a27a145e,6282158,31:12.4,Second Degree,Misdemeanor,b39dc385-e85e-4f1e-8b5f-a306a27a145e,,,,,,,Unknown,Unknown,Unknown,6343243,,N,Filed Pending Court,00:00.0,5405,Moving Traffic Violation,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1853938,9e6fa36e-c263-4456-a078-3fddc3765223,6283203,12:10.2,Second Degree,Misdemeanor,9e6fa36e-c263-4456-a078-3fddc3765223,,,,,,,Unknown,Unknown,Unknown,6344645,,N,Filed Pending Court,00:00.0,5405,Moving Traffic Violation,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1853955,497e5fb4-0f03-436c-96b7-b4d2173f1bca,6283228,13:09.4,Second Degree,Misdemeanor,497e5fb4-0f03-436c-96b7-b4d2173f1bca,,,,,,,Unknown,Unknown,Unknown,6344679,,N,Filed Pending Court,00:00.0,5405,Moving Traffic Violation,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1854789,c4e44bb2-5ef7-4f97-a45c-9f0beab5344b,6284682,01:33.1,Second Degree,Misdemeanor,c4e44bb2-5ef7-4f97-a45c-9f0beab5344b,,,,,,,Unknown,Unknown,Unknown,6346346,,N,Filed Pending Court,00:00.0,5405,Moving Traffic Violation,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
1853835,d14c3bc5-8b45-41ca-8d2a-05a3503d3423,6283044,06:03.0,Second Degree,Misdemeanor,d14c3bc5-8b45-41ca-8d2a-05a3503d3423,,,,,,,Unknown,Unknown,Unknown,6344440,,N,Filed Pending Court,00:00.0,5405,Moving Traffic Violation,FL029015A,Not Available,,Unknown,Unknown,Unknown,,,29,Hillsborough County State Attorney's Office,Hillsborough,Florida
